k,inertia,silhouette,davies_bouldin
2,5696.363212350793,0.1617438725706602,1.9916870307353114
3,5124.816173470017,0.13142454996063568,2.244332814310564
4,4760.422075067807,0.10365779382863662,2.171438565883803
5,4477.779903964057,0.1179978027870671,2.0349798311594904
6,4352.555912559716,0.11751046202655155,1.8762900733818964
7,4137.387353283465,0.12232249219128905,1.9893545952237341
8,3966.3473444714346,0.134883656369072,1.8270736613795266
9,3829.514532899959,0.1468458613997729,1.5911815141328094
