model,accuracy,accuracy_std,f1,f1_std,roc_auc,roc_auc_std,fit_time
Random Forest,0.9467355371900826,0.006787517655235463,0.964903042690386,0.0044388412915600094,0.9843349966226234,0.00603389103487541,0.3113083839416504
Gradient Boosting,0.9517217630853996,0.011130465275343813,0.9679533453076192,0.007298969403115961,0.9770036183235031,0.013396470682068798,0.34656271934509275
XGBoost,0.9534159779614326,0.01714411854821736,0.9687066527513455,0.011919647498423893,0.9763442576361658,0.011639969445257465,0.06419124603271484
Logistic Regression,0.9400688705234159,0.014425663959651587,0.9602343902901789,0.00970600182101391,0.9760476302761212,0.01425465961518,0.005705881118774414
SVM (RBF),0.9301101928374654,0.012503549268815929,0.9543402989543358,0.0075442425489590575,0.9727941252182939,0.009438282015722527,0.030573225021362303
K-Nearest Neighbours,0.8984297520661156,0.028723860171106255,0.9343408366203786,0.01802184307845436,0.8989232681678144,0.020649830767323858,0.0005860805511474609
Dummy (majority),0.7354407713498623,0.0032278461564446827,0.8475510454457822,0.0021384650288354535,0.5,0.0,0.00018177032470703124
