model,accuracy,f1,roc_auc,n_train,n_test,fit_time
SVM (RBF),0.88,0.896551724137931,0.8717948717948718,65,25,0.007820400060154498
XGBoost,0.88,0.896551724137931,0.8846153846153846,65,25,0.06568939995486289
Gradient Boosting,0.84,0.8461538461538461,0.8846153846153847,65,25,0.4298958999570459
K-Nearest Neighbours,0.84,0.8666666666666667,0.8044871794871795,65,25,0.013170700054615736
Logistic Regression,0.8,0.8,0.8333333333333334,65,25,0.008488099905662239
Random Forest,0.76,0.7692307692307693,0.8974358974358975,65,25,0.3381460999371484
Dummy (majority),0.52,0.6842105263157895,0.5,65,25,0.0051099000265821815
