model,accuracy,accuracy_std,f1,f1_std,roc_auc,roc_auc_std,fit_time
Random Forest,0.9,0.06478835438716998,0.9265284280936456,0.04886723418721013,0.9850829725829726,0.012391079101894405,0.3122701644897461
SVM (RBF),0.888888888888889,0.06085806194501844,0.9232680363115146,0.03628837243790923,0.9777777777777779,0.020786985482077417,0.004549074172973633
Logistic Regression,0.8888888888888887,0.0496903994999953,0.9178327759197324,0.03758586936722035,0.9564574314574316,0.021259983207179894,0.0073893070220947266
XGBoost,0.8333333333333334,0.09938079899999065,0.870095238095238,0.09112718181369445,0.9297619047619048,0.04848095630464245,0.060086393356323244
K-Nearest Neighbours,0.8666666666666666,0.056655772373253144,0.9079636884854276,0.03515516682975142,0.9032287157287158,0.07807041223142695,0.00021920204162597656
Gradient Boosting,0.7999999999999999,0.0831479419283098,0.8464102564102565,0.08031168736174212,0.8769841269841269,0.06791397415935407,0.4530059337615967
Dummy (majority),0.6555555555555556,0.022222222222222185,0.7917241379310346,0.016551724137931066,0.5,0.0,0.00039992332458496096
