algorithm,n_clusters,silhouette,davies_bouldin,ari_vs_position
KMeans (k=2),2,0.1617438725706602,1.9916870307353114,-0.011952408674137681
KMeans (k=4),4,0.10365779382863662,2.171438565883803,0.22630011533628272
KMeans (k=6),6,0.11751046202655155,1.8762900733818964,0.1457212262259927
Agglomerative (k=2),2,0.139477356446381,2.203049353880395,0.0636993027322878
Agglomerative (k=4),4,0.11420611754077939,2.3183981632052877,0.20832445651664827
